filename,functions,calls,synch_calls,async_calls,perc_async,prob_choices,paral_choices,perc_paral
lqn01-8f.lqn,7,21,21,0,0.0,5,0,0.0
lqn02-13f.lqn,12,66,60,6,9.09,10,0,0.0
lqn03-7f.lqn,6,15,15,0,0.0,4,0,0.0
lqn04-7f.lqn,6,15,15,0,0.0,4,0,0.0
lqn05-4f.lqn,3,3,3,0,0.0,1,0,0.0
lqn06-14f.lqn,13,78,74,4,5.13,11,0,0.0
lqn07-8f.lqn,7,21,21,0,0.0,5,0,0.0
lqn08-16f.lqn,15,105,93,12,11.43,13,0,0.0
lqn09-17f.lqn,16,120,118,2,1.67,14,0,0.0
lqn10-14f.lqn,13,78,76,2,2.56,11,0,0.0
lqn11-19f.lqn,18,153,148,5,3.27,16,0,0.0
lqn12-11f.lqn,10,45,41,4,8.89,8,0,0.0
lqn13-6f.lqn,5,10,10,0,0.0,3,0,0.0
lqn14-9f.lqn,8,28,28,0,0.0,6,0,0.0
lqn15-9f.lqn,8,28,28,0,0.0,6,0,0.0
lqn16-7f.lqn,6,15,15,0,0.0,4,0,0.0
lqn17-15f.lqn,14,91,79,12,13.19,12,0,0.0
lqn18-6f.lqn,5,10,10,0,0.0,3,0,0.0
lqn19-6f.lqn,5,10,10,0,0.0,3,0,0.0
lqn20-16f.lqn,15,105,93,12,11.43,13,0,0.0
